,Site_Id,SiteName,Region,geometry,index_right,Code,Name
123,9480,Lismore,North Coast LLS,POINT (153.26275 -28.83622),301,10301,Lismore
124,1141,LIDCOMBE,Sydney East,POINT (151.04676 -33.88143),120,10120,Lidcombe - Regents Park/ Rookwood Cemetery
125,1750,PENRITH,Sydney North-west,POINT (150.70385 -33.72687),109,10109,Cambridge Park/ Castlereagh - Cranebrook
126,264,MORISSET,Lake Macquarie,POINT (151.55257 -33.10801),279,10279,Bonnells Bay - Silverwater/ Morisset - Cooranbong
127,805,Test Site,Test Region,POINT (151.042577 -33.884341),120,10120,Lidcombe - Regents Park/ Rookwood Cemetery
128,15,ALEXANDRIA,Sydney East,POINT (151.197267 -33.905317),37,10037,Sydney Inner City - South West
130,62,CAMMERAY,Research Monitoring ,POINT (151.216707 -33.827271),86,10086,Cremorne - Cammeray/ Neutral Bay - Kirribilli
131,798,MILLTHORPE,Cadia Monitoring,POINT (149.185325 -33.444339),182,10182,Blayney
132,9800,Forest Reef 2,Cadia Monitoring DRX,POINT (149.065 -33.467),182,10182,Blayney
133,92800,Errowanbang 2,Cadia Monitoring DRX,POINT (149.052 -33.552),182,10182,Blayney
