pha,sex,year,asr_per_100k,disease,population
10104,females,2017,1762.69694962025,Respiratory disease,800.0
10044,females,2017,1039.11705968356,Respiratory disease,207.0
10197,females,2017,1836.9935635502,Respiratory disease,253.0
10198,females,2017,3178.33265960641,Respiratory disease,236.0
10199,females,2017,1508.47764200656,Respiratory disease,50.0
10074,females,2017,2266.67515726999,Respiratory disease,289.0
10204,females,2017,2085.30001164941,Respiratory disease,91.0
10018,females,2017,2567.44972919017,Respiratory disease,250.0
10133,females,2017,1467.30444783467,Respiratory disease,264.0
10170,females,2017,,Respiratory disease,
10280,females,2017,1948.18288919383,Respiratory disease,141.0
10110,females,2017,2593.98382532014,Respiratory disease,367.0
10153,females,2017,1515.70558332244,Respiratory disease,277.0
10132,females,2017,1658.73799039571,Respiratory disease,308.0
10002,females,2017,1327.28192257163,Respiratory disease,353.0
10122,females,2017,1829.53895295201,Respiratory disease,378.0
10116,females,2017,2399.99004612088,Respiratory disease,216.0
10296,females,2017,1820.10444847329,Respiratory disease,72.0
10124,females,2017,1577.47506181216,Respiratory disease,158.0
10141,females,2017,2182.64346284797,Respiratory disease,284.0
10145,females,2017,2166.74006222211,Respiratory disease,431.0
10232,females,2017,2054.1999473332,Respiratory disease,168.0
10237,females,2017,1484.54893489668,Respiratory disease,276.0
10128,females,2017,1552.66677585408,Respiratory disease,355.0
10038,females,2017,939.993537700305,Respiratory disease,199.0
10259,females,2017,1561.83151101742,Respiratory disease,188.0
10273,females,2017,2374.88443070855,Respiratory disease,210.0
10028,females,2017,1766.92781743627,Respiratory disease,275.0
10111,females,2017,1735.73701801704,Respiratory disease,162.0
10024,females,2017,1778.51957703121,Respiratory disease,337.0
10246,females,2017,1807.17902444665,Respiratory disease,163.0
10300,females,2017,2672.79069972446,Respiratory disease,185.0
10083,females,2017,2202.57817680033,Respiratory disease,380.0
10011,females,2017,3607.97850954481,Respiratory disease,368.0
10000,females,2017,1297.37010719366,Respiratory disease,123.0
10003,females,2017,3289.38417036892,Respiratory disease,395.0
10156,females,2017,4726.65542758516,Respiratory disease,395.0
10157,females,2017,2526.53260430804,Respiratory disease,165.0
10185,females,2017,3533.24612703775,Respiratory disease,242.0
10186,females,2017,3181.11536311044,Respiratory disease,157.0
10125,females,2017,2473.5130814976,Respiratory disease,458.0
10138,females,2017,1224.90986882516,Respiratory disease,318.0
10051,females,2017,1752.86640244902,Respiratory disease,515.0
10126,females,2017,2459.59210458737,Respiratory disease,252.0
10308,females,2017,2783.63168412394,Respiratory disease,251.0
10309,females,2017,2480.21819836135,Respiratory disease,169.0
10127,females,2017,2086.71880522823,Respiratory disease,510.0
10264,females,2017,2808.14575709537,Respiratory disease,212.0
10285,females,2017,1577.26499630273,Respiratory disease,172.0
10019,females,2017,1395.62579591269,Respiratory disease,207.0
10233,females,2017,1393.92156735587,Respiratory disease,128.0
10327,females,2017,772.491822170626,Respiratory disease,115.0
10148,females,2017,2581.7843372125,Respiratory disease,362.0
10075,females,2017,557.15863878891,Respiratory disease,47.0
10119,females,2017,2476.78122832286,Respiratory disease,98.0
10081,females,2017,1737.35754243415,Respiratory disease,285.0
10222,females,2017,1999.96275364427,Respiratory disease,96.0
10146,females,2017,525.947244592592,Respiratory disease,37.0
10140,females,2017,1657.03975868491,Respiratory disease,233.0
10059,females,2017,1130.60330434521,Respiratory disease,239.0
10320,females,2017,538.478541743308,Respiratory disease,54.0
10224,females,2017,,Respiratory disease,
10101,females,2017,2524.37805349365,Respiratory disease,664.0
10260,females,2017,,Respiratory disease,
10261,females,2017,1406.9339724121,Respiratory disease,216.0
10162,females,2017,2078.96069871694,Respiratory disease,248.0
10004,females,2017,1074.72275168728,Respiratory disease,113.0
10238,females,2017,2957.0052638931,Respiratory disease,225.0
10239,females,2017,1990.97687086554,Respiratory disease,262.0
10046,females,2017,942.415417385966,Respiratory disease,149.0
